,url,fork,stars,contr_count,lang,have_site,have_releases,license
98,https://github.com/RustyVolley/RustyVolleySrc,14,128,1,"[('Rust', 100.0)]",False,False,
99,https://github.com/sector-f/admiral,3,128,1,"[('Rust', 89.6), ('Shell', 10.4)]",False,False,BSD-2-Clause license
100,https://github.com/reasonml-old/rebel,16,122,1,"[('Rust', 98.6), ('Shell', 1.4)]",False,False,
101,https://github.com/seed-rs/seed-rs-realworld,19,121,1,"[('Rust', 99.3), ('HTML', 0.7)]",False,False,MIT license
102,https://github.com/vorner/corona,8,120,1,"[('Rust', 98.8), ('Perl', 1.2)]",False,False,
103,https://github.com/redox-os/games,39,120,1,"[('Rust', 100.0)]",False,False,MIT license
104,https://github.com/manuels/bulletinboard-dht,6,120,1,"[('Rust', 92.1), ('Shell', 6.5)]",False,False,GPL-2.0 license
105,https://github.com/kennytm/cov,9,120,1,"[('Rust', 85.1), ('JavaScript', 8.1), ('HTML', 3.7), ('Python', 1.5), ('CSS', 1.4), ('C++', 0.2)]",False,False,MIT license
106,https://github.com/int08h/roughenough,20,120,1,"[('Rust', 99.2), ('Dockerfile', 0.8)]",False,False,Apache-2.0 license
107,https://github.com/openzklib/openzl,14,119,1,"[('Rust', 95.2), ('Sage', 4.8)]",False,False,View license
108,https://github.com/iwilsonq/rust-graphql-example,16,118,1,"[('Rust', 77.0), ('PLpgSQL', 17.9), ('TSQL', 5.1)]",False,False,
109,https://github.com/tendermint/rust-abci,36,117,1,"[('Rust', 99.8), ('Makefile', 0.2)]",False,False,Apache-2.0 license
110,https://github.com/jshrake/grimoire-legacy,7,122,1,"[('Rust', 99.8)]",False,False,
111,https://github.com/reasonml-old/rebel,16,122,1,"[('Rust', 98.6), ('Shell', 1.4)]",False,False,
112,https://github.com/vitorenesduarte/fantoch,15,122,1,"[('Rust', 99.0)]",False,False,
113,https://github.com/seed-rs/seed-rs-realworld,19,121,1,"[('Rust', 99.3), ('HTML', 0.7)]",False,False,MIT license
114,https://github.com/yingDev/rxrs,4,121,1,"[('Rust', 100.0)]",False,False,
115,https://github.com/vorner/corona,8,120,1,"[('Rust', 98.8), ('Perl', 1.2)]",False,False,
116,https://github.com/sgrif/swirl,11,120,1,"[('Rust', 99.7), ('RenderScript', 0.3)]",False,False,
117,https://github.com/redox-os/games,39,120,1,"[('Rust', 100.0)]",False,False,MIT license
118,https://github.com/manuels/bulletinboard-dht,6,120,1,"[('Rust', 92.1), ('Shell', 6.5)]",False,False,GPL-2.0 license
